,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.9890000000000002e+30,695700000.0,274.1047807814442
1,Sirius,0008.6,4.176900000000001e+30,1189647000.0,196.85374632913818
3,Alpha Centauri,0004.4,2.1879000000000006e+30,834840000.0,209.3855964302699
11,Altair,0017,3.5802e+30,1252260000.0,152.280433767469
17,Fomalhaut,0025,3.7791e+30,1252260000.0,160.7404578656617
52,Tau Ceti,011.9,1.557387e+30,621260100.0,269.1382688446168
53,Delta Pavonis,019.92,1.971099e+30,848753999.9999999,182.50325030530186
58,Titawin,044.25,2.5260300000000002e+30,1029636000.0,158.9267127430762
63,54 Piscium,036.1,1.5116400000000002e+30,653957999.9999999,235.7623736915999
90,2MASSW J0045214+163445,57,4.3669537236e+28,115817394.942,217.1485027627916
91,WISEP J004701.06+680352.1 [fr],40,2.2784106384e+28,92939884.82999992,175.93553814787896
113,2MASS J03264225-2102057 [de],80,3.4176159576000003e+28,92939884.82999992,263.90330722181847
120,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.21199998,284.4075790766711
126,2MASS J04433764+0002040,82,4.1770861704e+28,127256149.99799992,172.04486250521128
130,2MASS J05012406-0010452 [de],64,3.9872186172e+28,98659262.35799992,273.2248236044697
134,LSR 0602+3910 [de],34.6,5.3162914896e+28,100804028.93099993,348.9625632998688
160,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.93099993,336.49961461058774
187,DENIS-P J142527.97-365023.4 [de],38,3.9872186172e+28,94369729.21199998,298.6279580305047
226,2MASSW J2206450-421721,93,4.1770861704e+28,95084651.40299998,308.1615367525078
231,2MASSW J2244316+204343,56,2.2784106384e+28,92224962.63899992,178.6737933236677
232,2MASS J23224684-3133231,56,4.5568212768e+28,99374184.54899992,307.78019716362036
